Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,176822875.56,7919021.28,21722620.50,74880,0,89103,0,174821,0,12877,0,771,0.7646414690460216,131628
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,269154791.91,6052698.72,2195950.00,74259,0,29712,0,161012,0,24337,0,1001,0.9215808699869783,222576
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,41053593.46,899202.24,209920.00,14812,0,19294,0,32413,0,2178,0,172,0.7086175558148474,22032
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,89078352.27,60416914.03,61410204.00,45723,0,19221,0,108125,0,18532,0,471,0.9596177215004752,180996
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,85176365.20,26039376.19,51984057.00,23211,0,9751,0,53431,0,9790,0,870,0.41650176673082373,185352
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,45014626.20,12313501.69,33815181.00,18650,0,9397,0,42007,0,8009,0,239,0.9452333282934184,68100
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,29420149.03,20327605.39,6703310.93,14963,0,6585,0,35656,0,5603,0,470,0.9355065200342206,57924
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,31179956.96,17427634.59,7988939.29,15460,0,9269,0,36647,0,5555,0,450,0.9237471289979539,56940
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,25361859.56,6761780.39,8143542.24,10093,0,6675,0,23570,0,3679,0,407,0.9022437889828245,32136
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,275770169.03,0.00,0,87275,0,33585,0,203304,0,33454,982,0.9862798352808435,349080
